subject_id,n_vertices,n_faces,non_manifold_edges,boundary_edges,status
sub-107528100_ses-4,60080,119875,5,288,NON_MANIFOLD
sub-107543100_ses-1,60060,119863,2,257,NON_MANIFOLD
sub-107543100_ses-2,60067,119868,0,264,OK
sub-107547100_ses-1,60065,119859,3,272,NON_MANIFOLD
sub-107547100_ses-2,60056,119867,1,244,NON_MANIFOLD
sub-107547100_ses-3,60059,119864,1,253,NON_MANIFOLD
sub-107547100_ses-4,60064,119863,2,265,NON_MANIFOLD
sub-107547100_ses-5,60074,119854,3,295,NON_MANIFOLD
sub-107560100_ses-1,60068,119879,3,258,NON_MANIFOLD
sub-107560100_ses-2,60071,119882,1,259,NON_MANIFOLD
sub-107560100_ses-3,60081,119882,4,282,NON_MANIFOLD
sub-107561100_ses-1,60068,119868,2,268,NON_MANIFOLD
sub-107561100_ses-2,60068,119884,1,251,NON_MANIFOLD
sub-107561100_ses-3,60066,119880,3,253,NON_MANIFOLD
sub-107609100_ses-1,60064,119867,0,259,OK
sub-107609100_ses-2,60064,119880,3,249,NON_MANIFOLD
sub-107609100_ses-3,60067,119875,1,258,NON_MANIFOLD
sub-107629100_ses-1,60053,119866,0,238,OK
sub-107629100_ses-4,60067,119873,1,260,NON_MANIFOLD
sub-107629100_ses-5,60080,119853,3,308,NON_MANIFOLD
sub-107642100_ses-1,60070,119871,1,268,NON_MANIFOLD
sub-107642100_ses-2,60078,119884,2,272,NON_MANIFOLD
sub-107655100_ses-1,60064,119872,3,257,NON_MANIFOLD
sub-107655100_ses-2,60069,119864,4,276,NON_MANIFOLD
sub-107655100_ses-3,60070,119877,0,261,OK
sub-107655100_ses-4,60081,119868,5,297,NON_MANIFOLD
sub-107655100_ses-5,60081,119863,2,299,NON_MANIFOLD
sub-107665100_ses-1,60056,119857,5,258,NON_MANIFOLD
sub-107671100_ses-1,60066,119884,3,249,NON_MANIFOLD
sub-107671100_ses-2,60068,119896,3,241,NON_MANIFOLD
sub-107671100_ses-3,60068,119889,2,247,NON_MANIFOLD
sub-107674201_ses-1,60055,119867,1,242,NON_MANIFOLD
sub-107674201_ses-2,60064,119883,3,246,NON_MANIFOLD
sub-107674201_ses-3,60071,119885,3,258,NON_MANIFOLD
sub-107674201_ses-4,60070,119884,1,255,NON_MANIFOLD
sub-107674201_ses-5,60079,119877,4,283,NON_MANIFOLD
sub-107691201_ses-1,60065,119865,3,266,NON_MANIFOLD
sub-107691201_ses-2,60074,119867,3,282,NON_MANIFOLD
sub-107691201_ses-3,60068,119870,2,266,NON_MANIFOLD
sub-107694100_ses-1,60063,119857,4,271,NON_MANIFOLD
sub-107694100_ses-2,60066,119862,5,272,NON_MANIFOLD
sub-107694100_ses-3,60075,119856,3,295,NON_MANIFOLD
sub-107705100_ses-1,60073,119874,2,272,NON_MANIFOLD
sub-107705100_ses-2,60072,119875,1,268,NON_MANIFOLD
sub-107705100_ses-3,60071,119881,3,262,NON_MANIFOLD
sub-107705100_ses-4,60077,119880,1,273,NON_MANIFOLD
sub-107705100_ses-5,60078,119872,2,284,NON_MANIFOLD
sub-107708100_ses-1,60063,119847,0,277,OK
sub-107708100_ses-2,60063,119851,7,280,NON_MANIFOLD
sub-107708100_ses-3,60065,119860,4,272,NON_MANIFOLD
sub-107708100_ses-4,60068,119859,2,277,NON_MANIFOLD
sub-107708100_ses-5,60067,119847,1,286,NON_MANIFOLD
sub-107723100_ses-1,60067,119865,4,271,NON_MANIFOLD
sub-107723100_ses-2,60071,119864,4,279,NON_MANIFOLD
sub-107723100_ses-3,60073,119867,1,278,NON_MANIFOLD
sub-107723100_ses-4,60075,119863,1,286,NON_MANIFOLD
sub-107723100_ses-5,60074,119858,3,290,NON_MANIFOLD
